Set	SeqID	RNA Extraction	Library Preparation	Total Number of Reads	Number of Unique Reads	Exon Fraction	Intron Fraction	Intergenic Fraction	Fraction Protein Coding
Validation	RSQ_138	batch 7	batch 5	45699045	40021174	0.92	0.06	0.03	0.89
Validation	RSQ_141	batch 7	batch 5	41127111	34182473	0.90	0.07	0.03	0.87
Validation	RSQ_160b	batch 8	batch 6	46286176	37326907	0.94	0.04	0.02	0.79
Validation	RSQ_169b	batch 7	batch 3	41091726	34452215	0.93	0.05	0.02	0.87
Validation	RSQ_171b	batch 6	batch 3	43997417	35073332	0.93	0.05	0.02	0.78
Validation	RSQ_177	batch 4	batch 4	37506679	30534084	0.69	0.22	0.09	0.71
Validation	RSQ_178	batch 4	batch 4	43446571	36566835	0.95	0.04	0.01	0.79
Validation	RSQ_179	batch 4	batch 4	45419463	35887750	0.92	0.06	0.02	0.86
Validation	RSQ_180	batch 4	batch 4	39794385	31445458	0.94	0.05	0.01	0.84
Validation	RSQ_181	batch 4	batch 4	41258803	34374819	0.93	0.05	0.02	0.83
Validation	RSQ_182	batch 4	batch 4	46219892	39711701	0.94	0.04	0.01	0.80
Validation	RSQ_183	batch 4	batch 4	42546602	34105678	0.95	0.04	0.01	0.82
Validation	RSQ_184	batch 4	batch 4	39110078	33476255	0.61	0.28	0.11	0.62
Validation	RSQ_188	batch 9	batch 4	45529234	40591516	0.94	0.04	0.02	0.81
Validation	RSQ_190	batch 9	batch 4	58526837	47914592	0.94	0.04	0.01	0.87
Validation	RSQ_192	batch 9	batch 4	42744939	37325748	0.94	0.04	0.02	0.85
